x,y,z,id,xi,xv
153.6,128,0,0,0,0
154,128,0,0.40000000000001,1.3779630145188e-06,0.0002023096406779
154.4,128,0,0.80000000000001,2.7559260290376e-06,0.00040461928135583
154.8,128,0,1.2,4.1338890435562e-06,0.0006069289220337
155.2,128,0,1.6,5.5118520580748e-06,0.00080923856271158
155.6,128,0,2,6.8898150725935e-06,0.0010115482033895
156,128,0,2.4,8.2677780871121e-06,0.0012138578440674
156.4,128,0,2.8,8.9130334430238e-06,0.0013085926328709
156.8,128,0,3.2,8.7042707943019e-06,0.0012779421586277
157.2,128,0,3.6,8.5555888420974e-06,0.0012561128475454
157.6,128,0,4,8.406906889893e-06,0.0012342835364631
158,128,0,4.4,8.2582249376886e-06,0.0012124542253809
158.4,128,0,4.8,8.1866314469644e-06,0.0012019429360556
158.8,128,0,5.2,8.1905763113358e-06,0.0012025220840024
159.2,128,0,5.6,8.1945211757072e-06,0.0012031012319493
159.6,128,0,6,8.2169194767275e-06,0.0012063897360529
160,128,0,6.4,8.2456803103587e-06,0.0012106123949824
160.4,128,0,6.8,8.2744411439899e-06,0.0012148350539119
160.8,128,0,7.2,8.3032019776211e-06,0.0012190577128415
161.2,128,0,7.6,8.2992564358421e-06,0.0012184784326627
161.6,128,0,8,8.2810167955477e-06,0.0012158004977164
162,128,0,8.4,8.2627771552532e-06,0.0012131225627702
162.4,128,0,8.8,8.2568657718479e-06,0.0012122546540033
162.8,128,0,9.2,8.2538972312978e-06,0.001211818811396
163.2,128,0,9.6,8.2509286907477e-06,0.0012113829687888
163.6,128,0,10,8.2479601501977e-06,0.0012109471261815
164,128,0,10.4,8.2449916096476e-06,0.0012105112835743
164.4,128,0,10.8,8.2434430024124e-06,0.0012102839156277
164.8,128,0,11.2,8.2476437103019e-06,0.0012109006623358
165.2,128,0,11.6,8.2518444181914e-06,0.0012115174090439
165.6,128,0,12,8.2555357827813e-06,0.0012120593744509
166,128,0,12.4,8.2556986571272e-06,0.0012120832902605
166.4,128,0,12.8,8.2558615314732e-06,0.0012121072060701
166.8,128,0,13.2,8.2560244058191e-06,0.0012121311218797
167.2,128,0,13.6,8.2560514332729e-06,0.0012121350917648
167.6,128,0,14,8.255746386755e-06,0.0012120903043888
168,128,0,14.4,8.255441340237e-06,0.0012120455170128
